grade,subject,tech domain,software recommendation
Lower Elementary,English,App Development,MIT App Inventor
Lower Elementary,English,App Development,Scratch
Lower Elementary,English,App Development,Thunkable
Lower Elementary,English,Artificial Intelligence,Google AutoDraw
Lower Elementary,English,Design & Simulation (2D Design),Jamboard
Lower Elementary,English,Design & Simulation (2D Design),Brush Ninja
Lower Elementary,English,Design & Simulation (3D Design),Tinkercad
Lower Elementary,English,Design & Simulation (3D Design),Sketch.io
Lower Elementary,English,Design & Simulation (3D Design),Canva
Lower Elementary,English,Design & Simulation (3D Design),CoSpaces
Lower Elementary,English,Design & Simulation (3D Design),Animaker
Lower Elementary,English,Extended Reality (AR/VR/MR),Flip
Lower Elementary,English,Extended Reality (AR/VR/MR),Google Maps
Lower Elementary,English,Multimedia and Animation,Brush Ninja
Lower Elementary,English,Programming & Coding,Scratch
Lower Elementary,English,Programming & Coding,Pencil Code
Lower Elementary,English,Programming & Coding,MIT App Inventor
Lower Elementary,English,Programming & Coding,Tynker
Lower Elementary,English,Programming & Coding,Code.org
Lower Elementary,Science,App Development,MIT App Inventor
Lower Elementary,Science,App Development,Scratch
Lower Elementary,Science,App Development,Tinkercad
Lower Elementary,Science,Artificial Intelligence,Google AutoDraw
Lower Elementary,Science,Design & Simulation (2D Design),Jamboard
Lower Elementary,Science,Design & Simulation (2D Design),Brush Ninja
Lower Elementary,Science,Design & Simulation (3D Design),Tinkercad
Lower Elementary,Science,Design & Simulation (3D Design),Mecabricks
Lower Elementary,Science,Design & Simulation (3D Design),CoSpaces
Lower Elementary,Science,Extended Reality (AR/VR/MR),Google Maps
Lower Elementary,Science,Multimedia and Animation,Infinite Drum Machine
Lower Elementary,Science,Multimedia and Animation,Brush Ninja
Lower Elementary,Science,Programming & Coding,Scratch
Lower Elementary,Science,Programming & Coding,MIT App Inventor
Lower Elementary,Science,Programming & Coding,Pencil Code
Lower Elementary,Science,Programming & Coding,Tinkercad
Lower Elementary,Math,App Development,MIT App Inventor
Lower Elementary,Math,App Development,Scratch
Lower Elementary,Math,App Development,Tinkercad
Lower Elementary,Math,Artificial Intelligence,Google AutoDraw
Lower Elementary,Math,Design & Simulation (2D Design),Jamboard
Lower Elementary,Math,Design & Simulation (2D Design),Brush Ninja
Lower Elementary,Math,Design & Simulation (3D Design),Tinkercad
Lower Elementary,Math,Extended Reality (AR/VR/MR),Google Maps
Lower Elementary,Math,Multimedia and Animation,Brush Ninja
Lower Elementary,Math,Programming & Coding,Pencil Code
Lower Elementary,Social Studies,App Development,MIT App Inventor
Lower Elementary,Social Studies,App Development,Scratch
Lower Elementary,Social Studies,App Development,Tinkercad
Lower Elementary,Social Studies,Artificial Intelligence,Google AutoDraw
Lower Elementary,Social Studies,Design & Simulation (2D Design),Jamboard
Lower Elementary,Social Studies,Design & Simulation (2D Design),Brush Ninja
Lower Elementary,Social Studies,Design & Simulation (3D Design),Tinkercad
Lower Elementary,Social Studies,Design & Simulation (3D Design),CoSpaces
Lower Elementary,Social Studies,Design & Simulation (3D Design),Sketch.io
Lower Elementary,Social Studies,Extended Reality (AR/VR/MR),Google Arts and Culture
Lower Elementary,Social Studies,Extended Reality (AR/VR/MR),Google Maps
Lower Elementary,Social Studies,Multimedia and Animation,Google Arts and Culture
Lower Elementary,Social Studies,Multimedia and Animation,Brush Ninja
Lower Elementary,Social Studies,Programming & Coding,Scratch
Lower Elementary,Social Studies,Programming & Coding,MIT App Inventor
Lower Elementary,Social Studies,Programming & Coding,Pencil Code
Lower Elementary,Social Studies,Programming & Coding,Tinkercad
Lower Elementary,Other,App Development,MIT App Inventor
Lower Elementary,Other,App Development,Scratch
Lower Elementary,Other,App Development,Thunkable
Lower Elementary,Other,Artificial Intelligence,Google AutoDraw
Lower Elementary,Other,Design & Simulation (2D Design),Jamboard
Lower Elementary,Other,Design & Simulation (2D Design),Brush Ninja
Lower Elementary,Other,Design & Simulation (3D Design),Tinkercad
Lower Elementary,Other,Design & Simulation (3D Design),Mecabricks
Lower Elementary,Other,Design & Simulation (3D Design),CoSpaces
Lower Elementary,Other,Extended Reality (AR/VR/MR),Google Maps
Lower Elementary,Other,Multimedia and Animation,Brush Ninja
Lower Elementary,Other,Programming & Coding,Scratch
